SITE,name,place,parish_mod,parish_med,sculpt,SITE_TYPE,cenel,parish_ch,Pre-Settlement,pre-Ritual,NMR_num,chapel,chapel_lengh,chapel_width,door,orientation,material,date stand rem,enclosure,enclosure_dimen,materials,number_cists
dukon,Duisker1,Islay,kilarow and kilmeny,kilarrowi,FALSE,encps,Oengusa,FALSE,>2,>2,NR36NE 1,TRUE,6.5,3.5,WSW,SSW,stone?,ind,TRUE ,22 x 16m,stone/turf,0
duskb,duisker 2,Islay,kilarow and kilmeny,kilarrowi,FALSE,encps,Oengusa,FALSE,>2,>2,NR36NE 2,TRUE,3.6,2.8,WSW,ENE-WSW,stone?,ind,TRUE ,13m diametre,stone/turf,0
kmnyi,Kilmeny,Islay,kilarow and kilmeny,kilarrowi,FALSE,encps,Oengusa,FALSE,>1,>1,NR36NE 7,TRUE,11.5,6.5,ind,E-W,lime mortared rubble,ind,TRUE ,inc,inc,0
anknp,Annait,Uamh Nan Gobhlag,south knapdale,kilberryk,FALSE,plcnm,nGabráin,FALSE,>1,>1,NR76SW 18,FALSE,,,,,,,FALSE,,,0
clang,Cill An Aonghais,Kilnaish,south knapdale,kilberryk,TRUE,encem,nGabráin,FALSE,>1,>2,NR76SE 4.00 ,FALSE,,,,,,,TRUE,inc,modern,0
kbrry,Kilberry,"Killberry, South Knapdale",south knapdale,kilberryk,TRUE,encps,nGabráin,TRUE,>1,>1,NR76SW 15.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
admns,Achadh Na Cille,Arminish,south knapdale,kilberryk,FALSE,encps,nGabráin,FALSE,>1,>2,NR76SW 13,TRUE,6,5,south,E-W,ind,ind,TRUE,18 x 15,earth and stone,0
clbhe,Cladh á Bhile,Ellary,south knapdale,kilberryk,TRUE,encem,nGabráin,FALSE,>1,<3,NR77NW 4,FALSE,,,,,,,TRUE,inc,modern,0
clmlg,Cill Maluag,South knapdale,south knapdale,kilberryk,FALSE,encps,nGabráin,FALSE,>2,<3,NR76NW 6,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
elnmr,Eilean MórK,Keills,south knapdale,kilberryk,TRUE,uncps,nGabráin,FALSE,<3,<3,NR67NE 1,TRUE,inc,inc,inc,inc,stone,medieval,FALSE,,,0
clmbc,St. Columba's Cave,Cove,south knapdale,kilberryk,TRUE,caves,nGabráin,FALSE,<3,<3,NR77NE 10,FALSE,,,,,,,FALSE,,,0
cccve,St. Columba's Chapel,"cove, South Knapdale",south knapdale,kilberryk,FALSE,uncps,nGabráin,FALSE,<2,<1,NR77NE 1,TRUE,inc,inc,inc,E-W,stone,inc,FALSE,,,0
arshg,Ardrishaig,Ardrishaig,south knapdale,kilberryk,TRUE,isscp,nGabráin,FALSE,>1,>1,NR88NE 7.01,FALSE,,,,,,,FALSE,,,0
inunl,Inverneill House,Inverneill,south knapdale,kilberryk,TRUE,modsc,nGabráin,FALSE,0,0,NR88SW 5,FALSE,,,,,,,FASLE,,,0
lched,Lochead,South Knapdale,south knapdale,kilberryk,TRUE,encps,nGabráin,FALSE,>1,>1,NR77NE 6,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,inc,inc,0
sadkk,St. Adamnan's Chapel,Killeonan,campbelltown,kilblanek,FALSE,uncps,nGabráin,FALSE,>1,<3,NR61NE 16,TRUE,16.5,6,ind,E-W,ind,ind,TRUE ,ind,ind,0
klhse,Killean House,kintyre,campbelltown,kilblanek,FALSE,encps,nGabráin,FALSE,>1,>2,NR61SE 2,TRUE,11.2,6.3,ind,E-W,rubble lime mortar,ind,TRUE ,inc,inc,0
klevn,Killervan,Kintyre,southend,kilblanek,FALSE,plcnm,nGabráin,FALSE,<2,>1,NR61SE 5,FALSE,,,,,,,FALSE,,,0
kstnd,KilbrideS,Southend,southend,kilblanek,FALSE,plcnm,nGabráin,FALSE,>1,>1,NR70NW 13 ,FALSE,,,,,,,FALSE,,,0
coivn,St. Covin's Chapel,Macharioch Farm,southend,kilblanek,TRUE,encps,nGabráin,FALSE,>1,>1,NR70NW 4,TRUE,11.6,5.2,W,E-W,rubble and lime mortar,ind,TRUE ,inc,,0
kctsn,KilchattanS,Southend,southend,kilblanek,FALSE,encem,nGabráin,FALSE,<3,>1,NR71SW 6,FALSE,,,,,,,TRUE ,24 x 34,,0
klbnk,Kilblane,Southend,southend,kilblanek,FALSE,encps,nGabráin,TRUE,>1,>2,NR60NE 7,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kdave,Kildavie,Southend,southend,kilblanek,FALSE,plcnm,nGabráin,FALSE,<2,<2,NR71SW 11,FALSE,,,,,,,FALSE,,,0
kseil,Kilbrandon,Seil,kilbrandon and kilchattan,kilbrandonl,FALSE,encps,Loairn,TRUE,>1,<3,NM71NE 2,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
balch,Ballachuan,Siel,kilbrandon and kilchattan,kilbrandonl,FALSE,uncps,Loairn,FALSE,>1,<3,NM71NE 18,TRUE,5.7,3.1,ind,inc,ind,ind,FALSE,,,0
kchan,Kilchoan,Loch Melfort,kilbrandon and kilchattan,kilbrandonl,FALSE ,plcnm,Loairn,FALSE,>2,<3,NM71SE 8,FALSE,,,,,,,FALSE,,,0
moltb,St Molaise's Table,Arran,kilbridea,kilbridea,TRUE,isscp,nGabráin,FALSE,>2,>2,NS02NE 6.01,FALSE,,,,,,,FALSE,,,0
smugr,Smuggler's Cave,Arran,kilbridea,kilbridea,TRUE,caves,nGabráin,FALSE,<3,<3,NS03SE 2,FALSE,,,,,,,FALSE,,,0
kbarr,"Kilbride, Arran",Arran,kilbridea,kilbridea,TRUE,encps,nGabráin,TRUE,>2,>1,NS03SW 5.00,TRUE,20,8,ind,E-W,stone?,late medieval,TRUE ,inc,inc,0
chphi,"Chapel, Holy Island","Holy Island, Arran",kilbridea,kilbridea,TRUE,encps,nGabráin,FALSE,<3,<3,NS03SE 1,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
molca,St Molaise's Cave,Arran,kilbridea,kilbridea,TRUE,caves,nGabráin,FALSE,<3,<3,NS02NE 4,FALSE,,,,,,,FALSE,,,0
clabh,Cladh A' Bhearnaig,Kerrera,kilmore and kilbride,kilbridel,FALSE,encpm,Loairn,FALSE,>1,>3,NM83SW 2,TRUE,,,,,stone,ind,TRUE,60m dia.,drystone,0
kbopc,Kilbride O.P.C.,Glenfeochan,kilmore and kilbride,kilbridel,FALSE,encps,Loairn,TRUE,>1,>1,NM82NE 36.00,TRUE,15.1,6.3,ind,E-W,stone?,medieval,TRUE ,inc,inc,0
kmbag,Kilmore Bar-a-Goan,Muckairn,kilmore and kilbride,kilbridel,FALSE,encps,Loairn,FALSE,>1,>1,NM93SW 3,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
cduan,Cladh Vain,Pennyfuir Cottage,kilmore and kilbride,kilbridel,FALSE,encps,Loairn,FALSE,>2,>2,NM83SE 20,TRUE,8.2,4.1,ind,ind,ind,ind,TRUE ,ind,ind,0
kilmg,Kilchamaig,"Whitehouse, Kintyre",kilcalmonell,kilcalmonellk,FALSE ,plcnm,nGabráin,FALSE,>2,>2,NR86SW 6,FALSE,,,,,,,FALSE,,,0
altcl,Allt an Cille,Claonaig,saddell and skipness,kilcalmonellk,FALSE ,plcnm,nGabráin,FALSE,<3,>1,NR85NE 8,FALSE,,,,,,,FALSE,,,0
klgml,Kilcalmonell,"Clachan, Kintyre",kilcalmonell,kilcalmonellk,TRUE,encps,nGabráin,TRUE,>1,>1,NR75NE 9,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
clbwk,Cille Bhride,"Whitehouse, Kintyre",kilcalmonell,kilcalmonellk,TRUE,encps,nGabráin,FALSE,>1,<2,NR86SW 2,TRUE,,,,,,,TRUE ,,,0
kbnnn,Kilbrannan,Skipness,saddell and skipness,kilcalmonellk,FALSE,encps,nGabráin,FALSE,>2,>2,NR95NW 6,TRUE,25.5,8.2,inc,inc,inc,13-14thc.,TRUE ,inc,inc,0
blkil,Balinakill,Balinakill,kilcalmonell,kilcalmonellk,TRUE,isscp,nGabráin,FALSE,>1,>1,NR75NE 4,FALSE,,,,,,,FALSE,,,0
kmbkn,KilmichaelK,"Ballochroy, Kintyre",kilcalmonell,kilcalmonellk,TRUE,encem,nGabráin,FALSE,<2,>1,NR75SW 9,FALSE,,,,,,,TRUE,20 x 17.5,drystone,0
luing,KilchattanL,Luing,kilbrandon and kilchattan,kilchattanl,FALSE,encps,Loairn,TRUE,>2,<2,NM70NW 2,TRUE,12.5,5.3,N,E-W,rubble lime mortart,12th c. ,TRUE ,inc,inc,0
klczk,Kilchenzie,Kintyre,killean and kilchenzie,kilchenziek,TRUE,encps,nGabráin,TRUE,>1,>1,NR62SE 12,TRUE,13.3,6.7,inc,E-W,rubble lime morter,12th c. ,TRUE ,inc,inc,0
klmah,Kilmaho,Kintyre,killean and kilchenzie,kilchenziek,FALSE,uncps,nGabráin,FALSE,>1,>1,NR62SE 13,TRUE,ind,ind,ind,ind,ind,ind,FALSE,,,0
klcan,Kilchoan O. P. C.,Arnamurchan,ardnamurchan,kilchoan,FALSE,encps,Loairn,TRUE,>2,>1,NM46SE 3.00,TRUE,14.4,5.2,inc,W-E,"rubble, sandstone dressings",12-13c. Oldest,TRUE,inc,inc,0
cmnag,Camas nan Geall,Arnamurchan,ardnamurchan,kilchoan,TRUE,isscp,Loairn,FALSE,>1,>1,NM56SE 2,FALSE,,,,,,,FALSE,,,0
clcha,Cladh Chatain,Ardnamurchan,ardnamurchan,kilchoan,FALSE,plcnm,Loairn,FALSE,>3,>3,NM56NW 2,FALSE,,,,,,,FALSE,,,0
slign,Ardslignish,Ardnamurchan,ardnamurchan,kilchoan,FALSE,encem,Loairn,FALSE,>1,>1,NM56SE 6,FALSE,,,,,,,TRUE,37x26,drystone,0
cmham,Cill MháiriA,Ardnamurchan,ardnamurchan,kilchoan,TRUE,encps,Loairn,FALSE,>3,>3,NM56NW 1,TRUE,17,ind,ind,ind,ind,ind,TRUE,37x27,drystone,0
clchi,Cill ChiarainC,Islay,kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,>1,>1,NR26SW 6,TRUE,14.5,5.1,W of N,E-W,random rubble/ sandstone ,late medieval,TRUE ,60 x 37,,0
cleni,Cill EileagainC,"Cragiens, Islan",kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,>2,>2,NR26NE 2,TRUE,8.4,5.8,N,E-W,stone,ind,TRUE ,20 x 16,truf/stone,0
oryiy,Orsay Island,Islay,kilchoman,kilchomani,TRUE,encps,Oengusa,FALSE,<3,<3,NR15SE 1.00,TRUE,8.7,3.8,W of S,E-W,local rubble and lime mortar,medieval,TRUE ,80 x 66m,drystone,0
klcmi,Kilchoman,Islay,kilchoman,kilchomani,TRUE,encps,Oengusa,TRUE,>1,>2,NR26SW 10.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
clmiy,Cilleach Mhicheil,islay,kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,<3,>1,NR25NW 2,TRUE,3.75,2.25,S,E-W,stone?,ind,TRUE ,14.5,turf/stone,0
nbtwi,Nereabolls2,Islay,kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,>2,>2,NR25NW 33,TRUE,4.4,2.7,W,E-W,stone?,ind,TRUE ,15 x 11,drystone,0
nboni,Nereabolls1,Islay,kilchoman,kilchomani,FALSE ,encps,Oengusa,FALSE,>1,<2,NR25SW 2,TRUE,15,8.5,W of S,E-W,stone?,medieval,TRUE ,,turf and stone,0
nvisd,Nave Island,Islay,kilchoman,kilchomani,TRUE,encps,Oengusa,FALSE,<3,<3,NR27NE 1,TRUE,6.5,4.1,W of N,E-W,local basalt rubble,13th c.,TRUE ,46 x 34,,0
gnagi,Gleann na gaoith',Islay,kilchoman,kilchomani,TRUE,encps,Oengusa,FALSE,>2,<2,NR25SW 1,TRUE,5,3.9,W of N,E-W,rubble clay mortar,ind,TRUE ,35 x 11,drystone,0
knily,Kilnave,Islay,kilchoman,kilchomani,TRUE,encps,Oengusa,FALSE,>1,>2,NR27SE 1.00,TRUE,9.2,4.3,W,E-W,local rubble and lime mortar,medieval,TRUE ,ind,ind,0
bgcri,Cill Ronain,"Braign, Islay",kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,>2,>2,NR26NW 2,TRUE,8,5,ind,ind,ind,ind,TRUE ,21 x 19,ind,0
brldi,Bruichladdich,Islay,kilchoman,kilchomani,FALSE,encps,Oengusa,FALSE,>2,>2,NR26SE 1,TRUE,6,4,west,E-W,drystone or clay mortar,ind,TRUE,20m sq.,drystone,0
