SITE,name,place,parish_mod,parish_med,sculpt,SITE_TYPE,cenel,parish_ch,Pre-Settlement,pre-Ritual,NMR_num,chapel,chapel_lengh,chapel_width,door,orientation,material,date stand rem,enclosure,enclosure_dimen,materials,number_cists
kmtre,KilmoluagT,Tiree,tiree,sorobyi,TRUE,encps,Loairn,FALSE,>1,<3,NL94NE 8,TRUE,ind,ind,ind,ind,ind,ind,TRUE,ind,ind,0
crngm,Cornaigmore,Tiree,tiree,sorobyi,FALSE,encps,Loairn,FALSE,>1,<2,NL94NE 9,TRUE,ind,ind,ind,ind,ind,ind,TRUE,ind,ind,0
knvay,Cill Fhinnein,"Kenovay, Tiree",tiree,sorobyi,FALSE,encps,Loairn,FALSE,>2,>2,NL 9934 4675,TRUE,9.1,5,ind,E-W,ind,ind,TRUE,26x19,ind,0
heyli,Todhar An Teanpuill,Hliypol House,tiree,sorobyi,FALSE,plcnm,Loairn,FALSE,<3,>1,NL94SE 9,FALSE,,,,,,,FALSE,,,0
sroby,Soroby O.P.C.,Tiree,tiree,sorobyi,TRUE,encps,Loairn,TRUE,<3,<3, NL94SE 6.00,TRUE,14,8,ind,E-W,ind,13c.,TRUE,inc,inc,0
cnmht,Ceann á Mhara,Tiree,tiree,sorobyi,TRUE,encpm,Loairn,FALSE,>1,>1,NL94SW 2,TRUE,inc,inc,N of W,E-W,lime and rubble,medieval,TRUE,44m,drystone,0
kknth,Kilkenneth,Tiree,tiree,sorobyi,TRUE,uncps,Loairn,FALSE,>1,>1,NL94SW 1,TRUE,8.7,3.1,W,E-W,rubble and lime mortar,medieval,FALSE,,,0
klmag,Kilmaglash,"Kilmaglash, Strachur",strachur,strachurg,FALSE,encps,nGabráin,TRUE,>1,>1,NN00SE 10,TRUE,ind,ind,ind,ind,ind,18th c.,TRUE ,0.5 acres,ind,0
kopcs,Kilmorie,Strachur,strathlachan,strathlachang,FALSE,encps,nGabráin,TRUE,<3,>1,NS09NW 2,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kbdsn,Chapel of Kilbride,Strathlachan,strathlachan,strathlachang,FALSE,encps,nGabráin,FALSE,<2,>2,NS09NW 3,TRUE,7,4.4,north,E-W,ind,ind,TRUE,35 x 32.6,rubble,0
lphnc,Lephinchapel,Lephinmore,strathlachan,strathlachang,FALSE,encps,nGabráin,FALSE,>1,>2,NR99SE 1,TRUE,5.8,3.6,N,E-W,stone?,ind,TRUE ,ind,ind,0
gulsh,St. John's Church,"Gualachaolish, Mull",torosay,torosay,FALSE,encps,Loairn,TRUE,<3,<2,NM72NW 3,TRUE,13.5,5.6,W,E-W,stone?,ind,TRUE ,inc,inc,0
lnacl,Lag na Cille,Mull,torosay,torosay,FALSE,encem,Loairn,FALSE,>1,<3,NM64SE 6,FALSE,,,,,,,TRUE,14m sq.,drystone,0
glfas,Cuil Mhurchaidh,"Glenforsa, Mull",torosay,torosay,FALSE,longc,Loairn,FALSE,<2,>1,NM54SE 11,FALSE,,,,,,,FALSE,,,3
glcnl,Glencannel,Glencannel,torosay,torosay,FALSE,encps,Loairn,FALSE,<3,<3,NM63SW 4,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,22m diametre,stone/turf,0
penyg,Pennygowan,Mull,torosay,torosay,TRUE,encps,Loairn,FALSE,<2,>2,NM64SW 1,TRUE,11.9,5.4,W of N,E-W,rubble likmestone mortar,13th c.,TRUE ,inc,inc,0
klbeg,Kilbeg,Mull,torosay,torosay,FALSE,encem,Loairn,FALSE,<2,>2,NM64SW 2,FALSE,,,,,,,TRUE,27.5 x 20m,turf/stone,0
lbuie,St. Kilda's Episcopal Church,"Lochbuie, Mull",torosay,torosay,TRUE,isscp,Loairn,FALSE,>2,>1,NM62SW 3,FALSE,,,,,,,FALSE,,,0
salen,Salen,"Salen, Mull",torosay,torosay,FALSE ,encps,Loairn,FALSE,>1,>1,NM54SE 7,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
mhear,Caibeal Mheamhair,Mull,torosay,torosay,FALSE,encps,Loairn,FALSE,>1,>2,NM62SW 2,TRUE,10.7,4.6,W of N,E-W,random rubble/ sandstone ,late medieval,TRUE,inc,inc,0
kptrk,Kilpatrick,Mull,torosay,torosay,FALSE,encem,Loairn,FALSE,<3,>2,NM73SW 3,FALSE,,,,,,,TRUE ,inc,inc,0
